athlete_id,name,sex,NOC,country_name,birth_date,sport_principal,sport,sport_code
1532872,ALEKSANYAN Artur,Male,ARM,Armenia,1991-10-21,Wrestling,Wrestling,WRE
1532873,AMOYAN Malkhas,Male,ARM,Armenia,1999-01-22,Wrestling,Wrestling,WRE
1532874,GALSTYAN Slavik,Male,ARM,Armenia,1996-12-21,Wrestling,Wrestling,WRE
1532944,HARUTYUNYAN Arsen,Male,ARM,Armenia,1999-11-22,Wrestling,Wrestling,WRE
1532945,TEVANYAN Vazgen,Male,ARM,Armenia,1999-10-27,Wrestling,Wrestling,WRE
1532951,ARENAS Lorena,Female,COL,Colombia,1993-09-17,Athletics,Athletics,ATH
1533112,McKENZIE Ashley,Male,JAM,Jamaica,1989-07-17,Judo,Judo,JUD
1533136,BASS BITTAYE Gina Mariam,Female,GAM,Gambia,1995-05-03,Athletics,Athletics,ATH
1533176,CAMARA Ebrahima,Male,GAM,Gambia,1996-09-18,Athletics,Athletics,ATH
1533188,RUEDA SANTOS Lizeth,Female,MEX,Mexico,1994-03-07,Triathlon,Triathlon,TRI
1533189,TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,1997-08-27,Triathlon,Triathlon,TRI
1533190,GRAJALES Crisanto,Male,MEX,Mexico,1987-05-06,Triathlon,Triathlon,TRI
1533208,MAAROUFOU Hachim,Male,COM,Comoros,1997-02-13,Athletics,Athletics,ATH
1533209,SAADI Maesha,Female,COM,Comoros,2007-01-16,Swimming,Swimming,SWM
1533230,DIOSDADO Nuria,Female,MEX,Mexico,1990-08-22,Artistic Swimming,Artistic Swimming,SWA
1533231,JIMENEZ Joana,Female,MEX,Mexico,1993-08-19,Artistic Swimming,Artistic Swimming,SWA
1533232,SOBRINO Jessica,Female,MEX,Mexico,1994-05-26,Artistic Swimming,Artistic Swimming,SWA
1533234,ALFEREZ Regina,Female,MEX,Mexico,1997-12-01,Artistic Swimming,Artistic Swimming,SWA
1533235,ARELLANO Fernanda,Female,MEX,Mexico,2002-02-28,Artistic Swimming,Artistic Swimming,SWA
1533237,TOSCANO Pamela,Female,MEX,Mexico,2000-01-13,Artistic Swimming,Artistic Swimming,SWA
1533239,GONZALEZ Itzamary,Female,MEX,Mexico,2003-11-14,Artistic Swimming,Artistic Swimming,SWA
1533240,RODRIGUEZ Samanta,Female,MEX,Mexico,1994-12-05,Artistic Swimming,Artistic Swimming,SWA
1533243,INZUNZA Glenda,Female,MEX,Mexico,2000-03-12,Artistic Swimming,Artistic Swimming,SWA
1533245,SEHEN Sajjad,Male,IRQ,Iraq,1996-03-08,Judo,Judo,JUD
1533359,RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,2004-08-02,Weightlifting,Weightlifting,WLF
1533364,ISMAIL Mohamed,Male,DJI,Djibouti,1997-01-01,Athletics,Athletics,ATH
1533371,HASSAN Ibrahim,Male,DJI,Djibouti,1997-01-01,Athletics,Athletics,ATH
1533372,WAISS Abdi,Male,DJI,Djibouti,1996-07-03,Athletics,Athletics,ATH
1533374,HASSAN NOUR Samiyah,Female,DJI,Djibouti,1999-12-05,Athletics,Athletics,ATH
1533378,HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,2004-04-04,Swimming,Swimming,SWM
