NOC,Gold,Silver,Bronze,Total
NOR,148,134,123,405
USA,113,122,95,330
GER,112,104,70,286
AUT,71,88,91,250
CAN,77,72,76,225
URS,78,57,59,194
SWE,65,51,60,176
FIN,45,65,65,175
SUI,63,47,58,168
NED,53,49,45,147
ITA,42,43,56,141
FRA,41,42,55,138
RUS,46,39,35,120
GDR,39,36,35,110
KOR,33,30,16,79
CHN,22,32,23,77
JPN,17,28,31,76
ROC,8,18,23,49
FRG,11,15,13,39
GBR,12,5,17,34
CZE,10,11,13,34
TCH,2,8,15,25
SLO,4,8,12,24
EUN,9,6,8,23
POL,7,7,9,23
BLR,8,7,5,20
AUS,6,7,6,19
CRO,4,6,1,11
SVK,4,4,2,10
HUN,2,2,6,10
LIE,2,2,6,10
LAT,1,3,6,10
UKR,3,2,4,9
EST,4,2,2,8
BEL,2,2,4,8
KAZ,1,3,4,8
NZL,2,2,2,6
BUL,1,2,3,6
ESP,1,1,3,5
YUG,0,3,1,4
LUX,0,2,0,2
PRK,0,1,1,2
MIX,1,0,0,1
UZB,1,0,0,1
DEN,0,1,0,1
ROU,0,0,1,1
