NOC,Gold,Silver,Bronze,Total
USA,1235,1013,887,3135
URS,473,376,355,1204
GER,367,390,374,1131
GBR,326,361,366,1053
FRA,303,334,378,1015
ITA,283,257,289,829
CHN,325,258,221,804
SWE,220,237,251,708
JPN,206,190,224,620
AUS,186,196,234,616
CAN,157,191,232,580
NOR,212,189,176,577
HUN,192,170,192,554
RUS,194,169,188,551
GDR,192,165,162,519
NED,166,163,184,513
FIN,151,152,186,489
KOR,142,130,126,398
SUI,124,136,137,397
AUT,98,128,140,366
POL,83,102,154,339
ROU,93,101,124,318
CUB,86,70,88,244
FRG,67,82,94,243
BUL,58,91,88,237
DEN,53,88,89,230
ESP,54,77,61,192
BEL,53,61,77,191
TCH,51,58,62,171
BRA,40,49,81,170
GRE,45,60,60,165
NZL,65,42,56,163
UKR,41,43,76,160
EUN,54,44,37,135
KEN,39,44,41,124
ROC,28,46,46,120
TUR,41,29,41,111
CZE,32,33,41,106
BLR,21,37,47,105
RSA,28,37,32,97
JAM,27,39,28,94
IRI,27,29,32,88
YUG,26,32,29,87
KAZ,16,27,43,86
ARG,22,27,31,80
MEX,13,27,37,77
PRK,16,19,28,63
ETH,24,15,23,62
CRO,20,21,18,59
AZE,9,16,31,56
