NOC,Gold,Silver,Bronze,Total
USA,1122,891,792,2805
GBR,314,356,349,1019
URS,395,319,296,1010
FRA,262,292,323,877
GER,255,286,304,845
CHN,303,226,198,727
ITA,241,214,233,688
AUS,180,189,228,597
HUN,190,168,186,544
JPN,189,162,193,544
SWE,155,186,191,532
RUS,148,130,153,431
GDR,153,129,127,409
NED,113,114,139,366
CAN,80,119,156,355
KOR,109,100,110,319
ROU,93,101,123,317
POL,76,95,145,316
FIN,106,87,121,314
CUB,86,70,88,244
BUL,57,89,85,231
SUI,61,89,79,229
DEN,53,87,89,229
FRG,56,67,81,204
ESP,53,76,58,187
BEL,51,59,73,183
NOR,64,55,53,172
BRA,40,49,81,170
GRE,45,60,60,165
NZL,63,40,54,157
UKR,38,41,72,151
TCH,49,50,47,146
KEN,39,44,41,124
AUT,27,40,49,116
EUN,45,38,29,112
TUR,41,29,41,111
RSA,28,37,32,97
JAM,27,39,28,94
IRI,27,29,32,88
BLR,13,30,42,85
YUG,26,29,28,83
ARG,22,27,31,80
KAZ,15,24,39,78
MEX,13,27,37,77
CZE,22,22,28,72
ROC,20,28,23,71
ETH,24,15,23,62
PRK,16,18,27,61
AZE,9,16,31,56
UZB,18,8,23,49
